# <defaultcodec>utf-8</defaultcodec>
Statistic export
DispY 1 (Average): Displacement Y [mm] , DispY 1 (Maximum): Displacement Y [mm] , DispY 1 (Minimum): Displacement Y [mm] , DispY 1 (Points): Displacement Y , DispY 1 (Sigma): Displacement Y [mm] , DispZ 1 (Average): Displacement Z [mm] , DispZ 1 (Maximum): Displacement Z [mm] , DispZ 1 (Minimum): Displacement Z [mm] , DispZ 1 (Points): Displacement Z , DispZ 1 (Sigma): Displacement Z [mm]
0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00 , 1.00000000e+02 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00 , 0.00000000e+00 , 1.00000000e+02 , 0.00000000e+00
2.45762812e-03 , 9.79048293e-03 , -6.03418518e-03 , 1.00000000e+02 , 3.41181022e-03 , 5.17498309e-03 , 9.82282124e-03 , -1.25857873e-03 , 1.00000000e+02 , 1.76588728e-03
1.73173519e-02 , 2.62503214e-02 , 8.76221713e-03 , 1.00000000e+02 , 3.80202520e-03 , -5.25698031e-03 , -1.65165972e-03 , -8.83954298e-03 , 1.00000000e+02 , 1.83664186e-03
5.81893103e-03 , 1.93079356e-02 , -1.64739657e-02 , 1.00000000e+02 , 9.07279953e-03 , -1.54793027e-03 , 6.99321227e-03 , -7.79646030e-03 , 1.00000000e+02 , 3.88859732e-03
4.17333529e-03 , 1.34049607e-02 , -3.95930279e-03 , 1.00000000e+02 , 3.60840631e-03 , 4.81382037e-03 , 8.58172029e-03 , 1.56409782e-03 , 1.00000000e+02 , 1.47621733e-03
2.43486901e-02 , 3.25116217e-02 , 1.75144542e-02 , 1.00000000e+02 , 3.08320713e-03 , -4.11531685e-03 , -1.22823496e-03 , -7.93711375e-03 , 1.00000000e+02 , 1.50042638e-03
3.59602913e-02 , 4.45482843e-02 , 3.12314425e-02 , 1.00000000e+02 , 3.01304293e-03 , -8.58170934e-03 , -4.96574212e-03 , -1.25076603e-02 , 1.00000000e+02 , 1.33985439e-03
2.19241062e-02 , 3.13453116e-02 , 1.40358219e-02 , 1.00000000e+02 , 3.48454198e-03 , -1.77303651e-03 , 1.95044733e-03 , -5.83945634e-03 , 1.00000000e+02 , 1.52452251e-03
2.26659689e-02 , 3.25445607e-02 , 1.48411710e-02 , 1.00000000e+02 , 3.21469843e-03 , -6.02573249e-04 , 3.57994670e-03 , -5.71025163e-03 , 1.00000000e+02 , 1.51972769e-03
1.71251347e-02 , 2.55415905e-02 , 8.55854526e-03 , 1.00000000e+02 , 3.43817081e-03 , 3.54078422e-03 , 6.51381165e-03 , -5.81918750e-04 , 1.00000000e+02 , 1.41959960e-03
2.52197819e-02 , 3.30027230e-02 , 1.53685808e-02 , 1.00000000e+02 , 3.80266886e-03 , 1.82729195e-03 , 4.67242301e-03 , -1.90114882e-03 , 1.00000000e+02 , 1.41085752e-03
9.79602541e-02 , 1.06801271e-01 , 8.35117176e-02 , 1.00000000e+02 , 4.74732966e-03 , 1.40186901e-02 , 2.21375134e-02 , 8.76158755e-03 , 1.00000000e+02 , 2.78315476e-03
6.20469285e-01 , 6.32886767e-01 , 6.01330638e-01 , 1.00000000e+02 , 7.43211736e-03 , 1.08901607e-01 , 1.21733971e-01 , 1.01261787e-01 , 1.00000000e+02 , 4.38826881e-03
1.13564213e+00 , 1.14926970e+00 , 1.11468267e+00 , 1.00000000e+02 , 7.61905777e-03 , 1.86009946e-01 , 2.00436369e-01 , 1.79081067e-01 , 1.00000000e+02 , 4.58878569e-03
1.49499530e+00 , 1.51033974e+00 , 1.47079909e+00 , 1.00000000e+02 , 8.83735504e-03 , 2.08249757e-01 , 2.23843455e-01 , 2.01015800e-01 , 1.00000000e+02 , 4.90986597e-03
1.73839696e+00 , 1.75361824e+00 , 1.72647750e+00 , 1.00000000e+02 , 5.63808276e-03 , 2.30913806e-01 , 2.41288349e-01 , 2.22241908e-01 , 1.00000000e+02 , 3.65598244e-03
1.96067728e+00 , 1.97515810e+00 , 1.93919206e+00 , 1.00000000e+02 , 7.36631834e-03 , 2.23538179e-01 , 2.34891310e-01 , 2.14483246e-01 , 1.00000000e+02 , 4.35086770e-03
2.09661549e+00 , 2.11294580e+00 , 2.07855368e+00 , 1.00000000e+02 , 7.42828426e-03 , 2.38649115e-01 , 2.49227718e-01 , 2.29813442e-01 , 1.00000000e+02 , 4.72295260e-03
2.24711460e+00 , 2.27461171e+00 , 2.21651030e+00 , 1.00000000e+02 , 1.67936325e-02 , 2.28506601e-01 , 2.45203316e-01 , 2.17818275e-01 , 1.00000000e+02 , 6.88883457e-03
2.33542748e+00 , 2.35724974e+00 , 2.30031562e+00 , 1.00000000e+02 , 1.46427826e-02 , 2.47794160e-01 , 2.64249742e-01 , 2.36359641e-01 , 1.00000000e+02 , 6.69562626e-03
2.43185489e+00 , 2.46368384e+00 , 2.38904738e+00 , 1.00000000e+02 , 1.98979242e-02 , 2.49430149e-01 , 2.69053429e-01 , 2.31661767e-01 , 1.00000000e+02 , 9.23051854e-03
2.54054569e+00 , 2.56629062e+00 , 2.50432944e+00 , 1.00000000e+02 , 1.45486713e-02 , 2.48400804e-01 , 2.63042837e-01 , 2.37866074e-01 , 1.00000000e+02 , 7.27591703e-03
2.62259932e+00 , 2.65342855e+00 , 2.57985449e+00 , 1.00000000e+02 , 1.96344528e-02 , 2.50213908e-01 , 2.67436415e-01 , 2.34247148e-01 , 1.00000000e+02 , 8.38362392e-03
